county_fips,county_name,state_name,state_code,median_home_value_all,median_home_value_4br,median_home_value_5br,dem_pct,rep_pct,lean_score,gun_law_grade,gun_death_rate,population,exotic_animal_rating,allows_primates,allows_big_cats,allows_reptiles,marijuana_status,recreational_legal,medical_legal,permissiveness_score,median_home_value_all_formatted,median_home_value_4br_formatted,median_home_value_5br_formatted,political_lean,gun_law_strength
12095.0,Orange County,FL,FL,426668.2421325653,512913.3069843138,745397.6820776224,56.9,43.1,13.8,C-,14.4,1287201,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$426,668","$512,913","$745,398",Lean Democrat,Weak
36059.0,Nassau County,NY,NY,819994.2210366926,887931.0024577924,1250710.3034579493,47.9,52.1,-4.2,A-,5.4,1870455,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$819,994","$887,931","$1,250,710",Swing,Strong
39049.0,Franklin County,OH,OH,317753.61490274366,425360.2496590777,609340.9636649011,64.3,35.7,28.6,F,14.8,827069,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$317,754","$425,360","$609,341",Strong Democrat,Minimal
26125.0,Oakland County,MI,MI,371493.2148402484,520658.0225974866,715191.5633063008,55.4,44.6,10.8,B+,14.6,1747617,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$371,493","$520,658","$715,192",Lean Democrat,Moderate
27053.0,Hennepin County,MN,MN,403699.36032255273,504820.40436508507,707005.9218528392,71.8,28.2,43.6,B,10.6,1291743,Moderate,Limited,No,Yes,Fully Legal,Yes,Yes,5,"$403,699","$504,820","$707,006",Strong Democrat,Moderate
48453.0,Travis County,TX,TX,490276.2963830324,584201.0957407643,964297.0188150152,70.7,29.3,41.4,F,15.6,603355,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$490,276","$584,201","$964,297",Strong Democrat,Minimal
39035.0,Cuyahoga County,OH,OH,216759.04237289805,326055.23417499603,398483.75193289673,65.9,34.1,31.8,F,14.8,1784372,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$216,759","$326,055","$398,484",Strong Democrat,Minimal
42003.0,Allegheny County,PA,PA,232734.4829223104,417324.89409768645,551488.0772829697,60.3,39.7,20.6,C,14.4,1762752,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$232,734","$417,325","$551,488",Strong Democrat,Weak
49035.0,Salt Lake County,UT,UT,583926.774570943,598738.9806494267,744666.5218403883,55.3,44.7,10.6,F,13.6,684779,Moderate,Limited,No,Yes,Medical Only,No,Yes,3,"$583,927","$598,739","$744,667",Lean Democrat,Minimal
6013.0,Contra Costa County,CA,CA,812029.3677124915,988200.5534359752,1304105.8318656744,69.6,30.4,39.2,A,9.0,1896025,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$812,029","$988,201","$1,304,106",Strong Democrat,Strong
51059.0,Fairfax County,VA,VA,820959.9306022826,904526.6118461996,1195434.41188688,68.0,32.0,36.0,B+,13.6,1970485,Moderate,Limited,No,Yes,Fully Legal,Yes,Yes,5,"$820,960","$904,527","$1,195,434",Strong Democrat,Moderate
37183.0,Wake County,NC,NC,485529.4134170091,592890.9382054579,807130.9238315715,63.0,37.0,26.0,D,16.2,1489436,Permissive,Yes,Yes,Yes,Decriminalized,No,No,2,"$485,529","$592,891","$807,131",Strong Democrat,Very Weak
37119.0,Mecklenburg County,NC,NC,428299.0821236467,559620.7312734862,805149.8092099024,66.7,33.3,33.4,D,16.2,1807371,Permissive,Yes,Yes,Yes,Decriminalized,No,No,2,"$428,299","$559,621","$805,150",Strong Democrat,Very Weak
24031.0,Montgomery County,MD,MD,677108.4083069264,757872.9560644027,1101193.5451483447,77.4,22.6,54.8,A-,13.5,986232,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$677,108","$757,873","$1,101,194",Strong Democrat,Strong
13121.0,Fulton County,GA,GA,465848.1132224775,583913.2164136113,971072.2916964078,72.7,27.3,45.4,F,19.1,1417040,Permissive,Limited,Limited,Yes,CBD Only,No,No,1,"$465,848","$583,913","$971,072",Strong Democrat,Minimal
48085.0,Collin County,TX,TX,496008.29617541545,538693.5663143079,747902.0694804381,44.2,55.8,-11.6,F,15.6,656730,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$496,008","$538,694","$747,902",Lean Republican,Minimal
4019.0,Pima County,AZ,AZ,350731.00524331746,415820.1318113385,551814.4142004986,41.3,58.7,-17.4,F,18.0,1933257,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$350,731","$415,820","$551,814",Lean Republican,Minimal
15003.0,Honolulu County,HI,HI,1031042.3875434628,1155513.122627614,1307626.01965105,61.0,39.0,22.0,A,4.8,1698079,Very Restrictive,No,No,Very Limited,Medical Only,No,Yes,3,"$1,031,042","$1,155,513","$1,307,626",Strong Democrat,Strong
6019.0,Fresno County,CA,CA,408698.3746943309,497771.8986581623,620909.5582634356,47.7,52.3,-4.6,A,9.0,1154811,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$408,698","$497,772","$620,910",Swing,Strong
29189.0,Saint Louis County,MO,MO,287508.83408173267,485020.1103587152,791937.3291092673,61.9,38.1,23.8,F,23.9,1027035,Permissive,Yes,Limited,Yes,Fully Legal,Yes,Yes,5,"$287,509","$485,020","$791,937",Strong Democrat,Minimal
36119.0,Westchester County,NY,NY,908533.6881865168,1111653.159380815,1845819.796091305,63.1,36.9,26.2,A-,5.4,1148143,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$908,534","$1,111,653","$1,845,820",Strong Democrat,Strong
12031.0,Duval County,FL,FL,301201.7393200957,387140.77203820174,567759.8725641484,49.3,50.7,-1.4,C-,14.4,565725,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$301,202","$387,141","$567,760",Swing,Weak
18097.0,Marion County,IN,IN,230888.54132504648,307107.59685017815,437998.4962367369,64.1,35.9,28.2,F,16.7,1678557,Moderate,Limited,Limited,Yes,CBD Only,No,No,1,"$230,889","$307,108","$437,998",Strong Democrat,Minimal
12103.0,Pinellas County,FL,FL,398006.3214612014,639160.3548814227,1046529.7760482256,47.4,52.6,-5.2,C-,14.4,584654,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$398,006","$639,160","$1,046,530",Lean Republican,Weak
24033.0,Prince Georges County,MD,MD,441108.09152879845,494029.6990244425,560168.8137619867,88.5,11.5,77.0,A-,13.5,1453277,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$441,108","$494,030","$560,169",Strong Democrat,Strong
9001.0,Fairfield County,CT,CT,741557.2286260631,915392.864906921,2107406.831274606,60.0,40.0,20.0,A-,6.7,1091723,Very Restrictive,Limited,No,Limited,Fully Legal,Yes,Yes,5,"$741,557","$915,393","$2,107,407",Lean Democrat,Strong
9001.0,Fairfield County,CT,CT,741557.2286260631,915392.864906921,2107406.831274606,,,,A-,6.7,1091723,Very Restrictive,Limited,No,Limited,Fully Legal,Yes,Yes,5,"$741,557","$915,393","$2,107,407",Unknown,Strong
34003.0,Bergen County,NJ,NJ,779810.6600255268,931312.9658059552,1490521.7231661745,51.7,48.3,3.4,A,5.2,819030,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$779,811","$931,313","$1,490,522",Swing,Strong
36029.0,Erie County,NY,NY,284733.8679400224,377909.3564154001,397748.6475571608,54.8,45.2,9.6,A-,5.4,1877523,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$284,734","$377,909","$397,749",Lean Democrat,Strong
13135.0,Gwinnett County,GA,GA,410760.1582173707,433394.004640725,567234.8583398218,58.4,41.6,16.8,F,19.1,1055839,Permissive,Limited,Limited,Yes,CBD Only,No,No,1,"$410,760","$433,394","$567,235",Lean Democrat,Minimal
55079.0,Milwaukee County,WI,WI,280284.87402093987,315214.7743969316,354684.20709433407,69.6,30.4,39.2,C,11.9,773538,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$280,285","$315,215","$354,684",Strong Democrat,Weak
17043.0,DuPage County,IL,IL,454342.4339311924,583999.7378105725,867552.2217863757,56.8,43.2,13.6,A-,14.1,831236,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$454,342","$584,000","$867,552",Lean Democrat,Strong
47157.0,Shelby County,TN,TN,213944.7495683607,352187.6324704983,533230.9856035345,62.9,37.1,25.8,F,20.6,1028178,Moderate,Limited,Limited,Yes,CBD Only,No,No,1,"$213,945","$352,188","$533,231",Strong Democrat,Minimal
53053.0,Pierce County,WA,WA,563857.2796766803,639663.8220547589,714597.3722905259,55.5,44.5,11.0,A-,10.9,1065894,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$563,857","$639,664","$714,597",Lean Democrat,Strong
6029.0,Kern County,CA,CA,360732.100045752,434310.4560091176,524821.6475075722,39.2,60.8,-21.6,A,9.0,989492,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$360,732","$434,310","$524,822",Strong Republican,Strong
9003.0,Hartford County,CT,CT,389833.23438368464,511007.24002862925,648298.1908051557,61.5,38.5,23.0,A-,6.7,1805416,Very Restrictive,Limited,No,Limited,Fully Legal,Yes,Yes,5,"$389,833","$511,007","$648,298",Strong Democrat,Strong
9003.0,Hartford County,CT,CT,389833.23438368464,511007.24002862925,648298.1908051557,,,,A-,6.7,1805416,Very Restrictive,Limited,No,Limited,Fully Legal,Yes,Yes,5,"$389,833","$511,007","$648,298",Unknown,Strong
48121.0,Denton County,TX,TX,444298.7620021182,514898.7274776699,748943.9877725273,43.2,56.8,-13.6,F,15.6,973254,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$444,299","$514,899","$748,944",Lean Republican,Minimal
26099.0,Macomb County,MI,MI,272015.2989355372,434320.2786741308,453811.8920723773,43.0,57.0,-14.0,B+,14.6,849457,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$272,015","$434,320","$453,812",Lean Republican,Moderate
6075.0,San Francisco County,CA,CA,1396257.2964072248,1900444.8924571327,2335605.237021585,83.8,16.2,67.6,A,9.0,1165987,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$1,396,257","$1,900,445","$2,335,605",Strong Democrat,Strong
48215.0,Hidalgo County,TX,TX,187381.00126426856,295132.9114464199,420403.88941028464,49.3,50.7,-1.4,F,15.6,1819512,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$187,381","$295,133","$420,404",Swing,Minimal
9009.0,New Haven County,CT,CT,411214.7721393115,555139.0632436827,615860.7341375714,56.1,43.9,12.2,A-,6.7,1788507,Very Restrictive,Limited,No,Limited,Fully Legal,Yes,Yes,5,"$411,215","$555,139","$615,861",Lean Democrat,Strong
9009.0,New Haven County,CT,CT,411214.7721393115,555139.0632436827,615860.7341375714,,,,A-,6.7,1788507,Very Restrictive,Limited,No,Limited,Fully Legal,Yes,Yes,5,"$411,215","$555,139","$615,861",Unknown,Strong
48141.0,El Paso County,TX,TX,224210.1467518607,287329.0712642141,403212.05388806335,58.6,41.4,17.2,F,15.6,1788205,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$224,210","$287,329","$403,212",Lean Democrat,Minimal
34023.0,Middlesex County,NJ,NJ,595428.8755737013,716618.796616167,915745.4288778022,54.1,45.9,8.2,A,5.2,1753617,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$595,429","$716,619","$915,745",Lean Democrat,Strong
25027.0,Worcester County,MA,MA,500850.8104941062,658277.7547596487,682298.0555461957,55.1,44.9,10.2,A+,3.7,1198361,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$500,851","$658,278","$682,298",Lean Democrat,Strong
34013.0,Essex County,NJ,NJ,670906.591158189,879413.9176157318,1290782.746040888,72.8,27.2,45.6,A,5.2,1965689,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$670,907","$879,414","$1,290,783",Strong Democrat,Strong
42091.0,Montgomery County,PA,PA,488051.0407413212,618195.6113941683,799952.5537359292,61.5,38.5,23.0,C,14.4,568148,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$488,051","$618,196","$799,953",Strong Democrat,Weak
24005.0,Baltimore County,MD,MD,364416.3338708686,466212.5826204047,691890.3186787341,62.6,37.4,25.2,A-,13.5,1148531,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$364,416","$466,213","$691,890",Strong Democrat,Strong
6111.0,Ventura County,CA,CA,906607.4565994176,975961.3098579114,1267940.112278933,100.0,0.0,100.0,A,9.0,1800571,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$906,607","$975,961","$1,267,940",Strong Democrat,Strong
6111.0,Ventura County,CA,CA,906607.4565994176,975961.3098579114,1267940.112278933,0.0,100.0,-100.0,A,9.0,1800571,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$906,607","$975,961","$1,267,940",Strong Republican,Strong
39061.0,Hamilton County,OH,OH,270348.4959114454,382348.27660576353,592279.6801118841,57.5,42.5,15.0,F,14.8,1406606,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$270,348","$382,348","$592,280",Lean Democrat,Minimal
53061.0,Snohomish County,WA,WA,769350.501171954,904367.3293888826,1059293.09982404,59.8,40.2,19.6,A-,10.9,1178843,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$769,351","$904,367","$1,059,293",Lean Democrat,Strong
41051.0,Multnomah County,OR,OR,512760.4079667798,630737.8888882212,740601.3359568603,82.2,17.8,64.4,B,13.0,1072843,Moderate,Limited,No,Yes,Fully Legal,Yes,Yes,5,"$512,760","$630,738","$740,601",Strong Democrat,Moderate
48157.0,Fort Bend County,TX,TX,380501.3256196014,422276.99632284726,633451.0449738029,50.9,49.1,1.8,F,15.6,756508,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$380,501","$422,277","$633,451",Swing,Minimal
25009.0,Essex County,MA,MA,755983.7784678604,938077.8538710404,1138592.2742340604,60.4,39.6,20.8,A+,3.7,1303591,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$755,984","$938,078","$1,138,592",Strong Democrat,Strong
25025.0,Suffolk County,MA,MA,786505.9745256646,884663.8456166029,1032069.6962805928,77.0,23.0,54.0,A+,3.7,1396942,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$786,506","$884,664","$1,032,070",Strong Democrat,Strong
40109.0,Oklahoma County,OK,OK,220380.1978862915,362523.25975166494,588459.9855393962,49.1,50.9,-1.8,F,20.7,606530,Permissive,Limited,Limited,Yes,Medical Only,No,Yes,3,"$220,380","$362,523","$588,460",Swing,Minimal
21111.0,Jefferson County,KY,KY,261647.0566598912,398515.1277470854,584135.5813658976,58.4,41.6,16.8,F,19.4,1104365,Moderate,Limited,No,Yes,Medical Only,No,Yes,3,"$261,647","$398,515","$584,136",Lean Democrat,Minimal
6077.0,San Joaquin County,CA,CA,530573.0848323473,629408.590429187,741262.7148120065,49.5,50.5,-1.0,A,9.0,960337,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$530,573","$629,409","$741,263",Swing,Strong
13067.0,Cobb County,GA,GA,437507.8271331857,505912.3014932927,728282.3170891275,57.5,42.5,15.0,F,19.1,1305889,Permissive,Limited,Limited,Yes,CBD Only,No,No,1,"$437,508","$505,912","$728,282",Lean Democrat,Minimal
6081.0,San Mateo County,CA,CA,1683959.8732856372,2303871.398494579,3241454.5235504606,76.0,24.0,52.0,A,9.0,708261,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$1,683,960","$2,303,871","$3,241,455",Strong Democrat,Strong
13089.0,Dekalb County,GA,GA,350907.5854626869,431404.3156700468,691537.4909848148,82.7,17.3,65.4,F,19.1,1889673,Permissive,Limited,Limited,Yes,CBD Only,No,No,1,"$350,908","$431,404","$691,537",Strong Democrat,Minimal
36055.0,Monroe County,NY,NY,271400.7100369405,351393.51650027087,434645.1068101379,59.5,40.5,19.0,A-,5.4,1863715,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$271,401","$351,394","$434,645",Lean Democrat,Strong
12071.0,Lee County,FL,FL,354210.9521476296,441431.9465167712,670392.6422694987,35.7,64.3,-28.6,C-,14.4,1720405,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$354,211","$441,432","$670,393",Strong Republican,Weak
8041.0,El Paso County,CO,CO,458225.2644113652,507183.4916255867,628375.9372729167,23.9,76.1,-52.2,B,15.4,771836,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$458,225","$507,183","$628,376",Strong Republican,Moderate
25021.0,Norfolk County,MA,MA,790376.6261935268,964723.4575278098,1723468.0688796798,64.7,35.3,29.4,A+,3.7,1987550,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$790,377","$964,723","$1,723,468",Strong Democrat,Strong
17097.0,Lake County,IL,IL,392924.36891888577,510823.622951554,815920.898777254,60.5,39.5,21.0,A-,14.1,1489913,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$392,924","$510,824","$815,921",Strong Democrat,Strong
29095.0,Jackson County,MO,MO,240328.44059843908,369166.4828232497,464753.86533018266,47.9,52.1,-4.2,F,23.9,702283,Permissive,Yes,Limited,Yes,Fully Legal,Yes,Yes,5,"$240,328","$369,166","$464,754",Swing,Minimal
12105.0,Polk County,FL,FL,302787.3785014033,348852.4699468861,434393.7569793589,39.6,60.4,-20.8,C-,14.4,696769,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$302,787","$348,852","$434,394",Strong Republican,Weak
34017.0,Hudson County,NJ,NJ,642439.372514676,765812.4788761354,810658.3182700783,64.4,35.6,28.8,A,5.2,1061353,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$642,439","$765,812","$810,658",Strong Democrat,Strong
47037.0,Davidson County,TN,TN,444809.7592217969,629270.2538059737,1087267.2675274394,64.0,36.0,28.0,F,20.6,1771741,Moderate,Limited,Limited,Yes,CBD Only,No,No,1,"$444,810","$629,270","$1,087,267",Strong Democrat,Minimal
8031.0,Denver County,CO,CO,584377.0384773674,749554.1763390446,1045174.8834074008,78.8,21.2,57.6,B,15.4,1546797,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$584,377","$749,554","$1,045,175",Strong Democrat,Moderate
17197.0,Will County,IL,IL,369528.01269672206,473872.4562129765,589468.8207962116,50.8,49.2,1.6,A-,14.1,1450110,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$369,528","$473,872","$589,469",Swing,Strong
11001.0,District of Columbia,DC,DC,729458.6670348911,972256.7099740813,1662630.597725032,93.3,6.7,86.6,,,987879,Very Restrictive,No,No,No,Fully Legal,Yes,Yes,5,"$729,459","$972,257","$1,662,631",Strong Democrat,Unknown
35001.0,Bernalillo County,NM,NM,343072.980970471,439704.6659191352,569664.6097086245,60.8,39.2,21.6,C+,22.7,1064685,Moderate,Limited,No,Yes,Fully Legal,Yes,Yes,5,"$343,073","$439,705","$569,665",Strong Democrat,Weak
1073.0,Jefferson County,AL,AL,208661.6957020443,392350.81487154914,638791.4359151121,55.3,44.7,10.6,F,23.6,357750,Moderate,No,Limited,Yes,Medical Only,No,Yes,3,"$208,662","$392,351","$638,791",Lean Democrat,Minimal
40143.0,Tulsa County,OK,OK,247970.4491998847,356280.01191228256,501123.6719562712,42.2,57.8,-15.6,F,20.7,453531,Permissive,Limited,Limited,Yes,Medical Only,No,Yes,3,"$247,970","$356,280","$501,124",Lean Republican,Minimal
44007.0,Providence County,RI,RI,445498.3939315733,531398.5459948275,617913.6073391993,,,,B+,5.1,363160,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$445,498","$531,399","$617,914",Unknown,Moderate
26081.0,Kent County,MI,MI,339144.8985979352,419256.29203100223,569851.9455582312,52.7,47.3,5.4,B+,14.6,155591,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$339,145","$419,256","$569,852",Lean Democrat,Moderate
8005.0,Arapahoe County,CO,CO,541604.6508731027,630910.1815622099,785018.9684640034,60.3,39.7,20.6,B,15.4,320884,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$541,605","$630,910","$785,019",Strong Democrat,Moderate
49049.0,Utah County,UT,UT,556467.2667804976,565697.0964626706,705509.045302004,29.4,70.6,-41.2,F,13.6,123247,Moderate,Limited,No,Yes,Medical Only,No,Yes,3,"$556,467","$565,697","$705,509",Strong Republican,Minimal
